"point_id"	"Mrub_sum"	"Msca_sum"	"Mrug_sum"	"Msch_sum"	"oth_sum"	"x"	"y"
1	0	0	10	0	0	1499978.283	-40.25199878
2	2	0	0	0	0	1499975.282	-40.25199878
3	19	0	0	0	0	1499972.281	-40.25199878
4	0	29	5	0	0	1499969.28	-40.25199878
5	0	13	0	0	0	1499966.279	-40.25199878
6	0	0	0	0	0	1499963.278	-40.25199878
7	0	0	0	26	0	1499960.277	-40.25199878
11	1	0	16	0	0	1499948.273	-40.25199878
12	0	4	0	0	0	1499945.272	-40.25199878
13	0	0	68	0	0	1499942.271	-40.25199878
14	0	0	13	0	0	1499939.27	-40.25199878
15	0	0	0	0	0	1499936.269	-40.25199878
20	0	0	19	0	0	1499978.283	-37.25096667
21	0	0	0	18	0	1499975.282	-37.25096667
22	15	0	0	0	0	1499972.281	-37.25096667
23	0	5	3	0	0	1499969.28	-37.25096667
24	0	4	15	0	0	1499966.279	-37.25096667
25	1	0	0	0	0	1499963.278	-37.25096667
26	20	0	2	0	0	1499960.277	-37.25096667
27	0	0	8	0	0	1499957.276	-37.25096667
28	19	0	0	0	0	1499954.275	-37.25096667
30	0	0	6	0	0	1499948.273	-37.25096667
31	0	0	5	0	0	1499945.272	-37.25096667
32	0	0	32	0	0	1499942.271	-37.25096667
33	0	28	0	0	0	1499939.27	-37.25096667
34	0	0	3	0	0	1499936.269	-37.25096667
35	0	0	1	0	0	1499933.268	-37.25096667
36	0	0	1	0	0	1499930.267	-37.25096667
39	12	0	18	0	0	1499978.283	-34.24993456
40	0	0	7	0	0	1499975.282	-34.24993456
41	0	0	18	0	0	1499972.281	-34.24993456
42	0	0	64	0	0	1499969.28	-34.24993456
43	0	0	3	0	0	1499966.279	-34.24993456
44	9	0	0	0	0	1499963.278	-34.24993456
45	5	0	0	0	0	1499960.277	-34.24993456
46	0	0	0	0	30	1499957.276	-34.24993456
47	0	0	30	0	0	1499954.275	-34.24993456
49	0	0	1	4	6	1499948.273	-34.24993456
50	0	0	1	1	0	1499945.272	-34.24993456
51	0	6	0	0	0	1499942.271	-34.24993456
52	0	15	1	0	0	1499939.27	-34.24993456
53	0	4	10	0	0	1499936.269	-34.24993456
54	0	5	4	0	0	1499933.268	-34.24993456
55	0	0	6	0	0	1499930.267	-34.24993456
56	5	0	3	0	0	1499927.266	-34.24993456
57	0	2	2	0	0	1499924.265	-34.24993456
58	0	0	3	0	0	1499978.283	-31.24890245
59	5	0	0	0	0	1499975.282	-31.24890245
64	4	0	0	0	0	1499960.277	-31.24890245
65	0	0	5	0	0	1499957.276	-31.24890245
68	0	0	29	0	0	1499948.273	-31.24890245
69	4	1	0	0	0	1499945.272	-31.24890245
70	2	0	0	0	30	1499942.271	-31.24890245
71	0	12	0	0	0	1499939.27	-31.24890245
72	0	5	0	0	0	1499936.269	-31.24890245
73	0	2	0	0	0	1499933.268	-31.24890245
74	0	4	0	0	0	1499930.267	-31.24890245
75	0	0	14	0	0	1499927.266	-31.24890245
76	0	8	0	0	0	1499924.265	-31.24890245
77	8	0	0	0	0	1499978.283	-28.24787034
87	0	0	9	0	0	1499948.273	-28.24787034
88	0	0	27	0	1	1499945.272	-28.24787034
89	0	0	16	0	26	1499942.271	-28.24787034
90	0	0	27	0	0	1499939.27	-28.24787034
91	0	3	0	0	0	1499936.269	-28.24787034
92	0	0	27	0	0	1499933.268	-28.24787034
93	0	8	0	0	0	1499930.267	-28.24787034
94	0	0	0	0	0	1499927.266	-28.24787034
95	0	6	3	0	0	1499924.265	-28.24787034
96	0	0	7	0	0	1499978.283	-25.24683823
98	0	0	0	9	0	1499972.281	-25.24683823
99	0	0	0	0	0	1499969.28	-25.24683823
103	0	0	0	0	0	1499957.276	-25.24683823
104	0	0	14	0	0	1499954.275	-25.24683823
106	0	0	0	2	0	1499948.273	-25.24683823
107	0	1	0	0	0	1499945.272	-25.24683823
108	0	3	0	0	0	1499942.271	-25.24683823
109	0	0	5	0	0	1499939.27	-25.24683823
110	0	14	0	0	0	1499936.269	-25.24683823
111	0	0	4	0	1	1499933.268	-25.24683823
112	0	3	0	0	0	1499930.267	-25.24683823
113	0	0	2	0	0	1499927.266	-25.24683823
114	0	3	20	0	0	1499924.265	-25.24683823
115	0	0	0	5	0	1499978.283	-22.24580612
117	0	0	0	0	0	1499972.281	-22.24580612
118	0	0	0	0	0	1499969.28	-22.24580612
122	0	0	7	0	0	1499957.276	-22.24580612
123	0	6	11	0	0	1499954.275	-22.24580612
124	0	3	0	0	0	1499951.274	-22.24580612
125	0	0	21	0	0	1499948.273	-22.24580612
126	1	0	13	0	0	1499945.272	-22.24580612
127	0	0	37	0	0	1499942.271	-22.24580612
128	0	13	0	0	0	1499939.27	-22.24580612
129	0	5	0	0	0	1499936.269	-22.24580612
130	1	0	14	0	0	1499933.268	-22.24580612
131	0	4	5	0	0	1499930.267	-22.24580612
132	0	5	10	0	0	1499927.266	-22.24580612
133	0	0	94	0	0	1499924.265	-22.24580612
142	0	0	10	0	0	1499954.275	-19.24477401
143	0	0	8	2	0	1499951.274	-19.24477401
144	0	0	3	7	0	1499948.273	-19.24477401
145	0	4	0	0	0	1499945.272	-19.24477401
146	5	0	45	0	0	1499942.271	-19.24477401
147	0	7	0	0	0	1499939.27	-19.24477401
148	0	0	37	0	1	1499936.269	-19.24477401
149	14	0	18	0	0	1499933.268	-19.24477401
150	5	7	0	0	0	1499930.267	-19.24477401
151	0	10	0	0	76	1499927.266	-19.24477401
152	0	0	14	0	6	1499924.265	-19.24477401
153	0	0	2	0	0	1499978.283	-16.2437419
154	0	0	0	0	0	1499975.282	-16.2437419
161	0	0	14	0	5	1499954.275	-16.2437419
162	0	0	3	0	0	1499951.274	-16.2437419
163	0	0	11	0	0	1499948.273	-16.2437419
164	9	0	7	0	0	1499945.272	-16.2437419
165	0	0	17	0	0	1499942.271	-16.2437419
166	0	6	0	0	0	1499939.27	-16.2437419
167	0	6	0	0	0	1499936.269	-16.2437419
168	0	6	0	0	0	1499933.268	-16.2437419
169	0	61	0	0	0	1499930.267	-16.2437419
170	0	0	13	0	15	1499927.266	-16.2437419
171	0	5	5	0	0	1499924.265	-16.2437419
172	0	0	0	2	0	1499978.283	-13.24270979
173	0	0	0	2	7	1499975.282	-13.24270979
176	2	0	0	0	2	1499966.279	-13.24270979
