"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
0	6	1499944.864	-22.91918526	0	16.1387124049	4.62988505747126
1	6	1499944.837	-22.88531853	0	16.1884752252	4.5868544600939
2	6	1499944.826	-22.91918526	0	16.2815454643	4.6281179138322
3	4	1499944.854	-22.953052	0	16.4141350452	4.61609195402299
4	2	1499944.627	-22.92130193	0	16.7728454262	4.59276018099547
5	6	1499944.621	-23.08005225	0	16.6368094293	4.54318181818182
6	5	1499944.528	-23.09910229	0	16.6345230373	4.536866359447
7	5	1499944.325	-22.64401805	0	16.4765584485	4.52530120481928
8	6	1499944.316	-22.6397847	0	16.5005935018	4.52644230769231
9	6	1499944.437	-23.20070249	0	17.1814571621	4.55479452054795
10	5	1499944.435	-23.20493583	0	17.3036675461	4.55681818181818
11	4	1499944.428	-23.19858582	0	17.2824627472	4.55909090909091
12	6	1499944.424	-23.20070249	0	17.3331046962	4.56433408577878
13	5	1499944.777	-23.39924622	0	16.9295190985	4.59080962800875
14	4	1499944.864	-23.5537632	0	16.9804139589	4.61471861471861
15	6	1499944.869	-23.56434655	0	17.0090852635	4.61038961038961
16	5	1499944.322	-23.79718035	0	19.4470396386	4.58452138492872
17	5	1499944.394	-23.89243054	0	19.2913364895	4.58452138492872
18	4	1499945.224	-24.09774762	0	16.6156503179	4.66025641025641
19	4	1499945.226	-24.10198096	0	16.5787728477	4.65952890792291
20	3	1499945.228	-24.19934782	0	16.6131033566	4.64592274678112
21	1	1499945.226	-24.79413235	0	18.0374202442	4.64822134387352
22	5	1499945.156	-24.71369885	0	18.2384413684	4.66205533596838
23	6	1499945.173	-24.95288266	0	17.865403663	4.644
24	6	1499945.184	-25.06929956	0	17.6421896839	4.63967611336032
25	6	1499945.184	-25.07353291	0	17.6421896839	4.63967611336032
26	5	1499945.065	-24.95288266	0	18.5663046883	4.6374269005848
27	4	1499945.063	-24.94229931	0	18.7489440887	4.63953488372093
28	3	1499945.063	-24.95076599	0	18.5693565016	4.64132553606238
29	3	1499945.061	-24.95076599	0	18.572422139	4.64132553606238
30	2	1499944.947	-24.59304861	0	19.2305795036	4.67485822306238
31	3	1499944.758	-24.67559878	0	20.118045383	4.65799256505576
32	3	1499944.767	-24.66924876	0	20.0972190955	4.65799256505576
33	6	1499944.727	-24.52319847	0	19.9747186337	4.66417910447761
34	6	1499944.72	-24.52743181	0	20.028072376	4.66480446927374
35	6	1499944.725	-24.5210818	0	20.0172886987	4.66480446927374
36	5	1499944.725	-24.51896513	0	20.0172886987	4.66666666666667
37	6	1499944.725	-24.51473179	0	20.0172886987	4.66480446927374
38	4	1499944.581	-24.55706521	0	20.5645545595	4.65064695009242
39	2	1499944.583	-24.55706521	0	20.5582468392	4.6543438077634
40	3	1499944.583	-24.55706521	0	20.5582468392	4.65249537892791
41	5	1499944.579	-24.55706521	0	20.5708761428	4.64879852125693
42	5	1499944.579	-24.55706521	0	20.5708761428	4.64879852125693
43	5	1499944.579	-24.55706521	0	20.5708761428	4.64879852125693
44	5	1499944.579	-24.55706521	0	20.5708761428	4.64879852125693
45	5	1499944.811	-24.94229931	1	19.438817595	4.63567362428843
46	5	1499944.811	-24.95288266	1	19.438817595	4.63567362428843
47	6	1499944.811	-24.95076599	0	19.438817595	4.63377609108159
48	6	1499944.71	-25.01214945	0	19.8688628122	4.6203007518797
49	6	1499944.712	-25.01214945	0	19.8634530343	4.6203007518797
50	6	1499944.712	-25.01214945	1	19.8634530343	4.6203007518797
51	6	1499944.712	-25.01638279	0	19.8634530343	4.6203007518797
52	5	1499944.708	-25.01214945	0	19.874285021	4.62218045112782
53	6	1499944.667	-25.10951631	0	20.3920319485	4.61878453038674
54	6	1499944.667	-25.11374965	0	20.3920319485	4.61878453038674
55	3	1499944.325	-24.58881527	0	21.5736232923	4.6348623853211
56	5	1499944.282	-25.04813285	0	22.2107901926	4.60502692998205
57	5	1499944.282	-25.04813285	0	22.2107901926	4.60502692998205
58	4	1499944.282	-25.04813285	0	22.2107901926	4.60682226211849
59	6	1499944.256	-25.10104963	0	22.1555646834	4.59855334538879
60	4	1499944.222	-25.05871621	0	22.5333752883	4.61001788908766
61	5	1499944.222	-25.00791611	0	22.5736134584	4.60892857142857
62	6	1499944.019	-25.23651656	0	24.4813446712	4.61643835616438
63	6	1499943.928	-25.1539664	0	25.3746560855	4.62542372881356
64	4	1499943.928	-25.1539664	0	25.3746560855	4.62881355932203
65	6	1499944.027	-24.4046649	0	22.2670142905	4.6109022556391
66	5	1499943.902	-24.72004886	0	23.7546634902	4.5989110707804
67	5	1499943.773	-24.82588241	0	24.5334790166	4.59312839059675
68	4	1499943.881	-24.99521608	0	24.4235147819	4.62014134275618
69	6	1499943.879	-24.99733275	0	24.4347504647	4.61524822695035
70	5	1499943.792	-24.99309941	0	25.2179317646	4.62303664921466
71	5	1499943.714	-25.03966617	0	25.8573195667	4.61698440207972
72	3	1499943.714	-25.04178284	0	25.8573195667	4.62045060658579
73	1	1499943.716	-25.04178284	0	25.8444756598	4.62391681109185
74	6	1499943.447	-25.09258294	0	28.0111014799	4.62051282051282
75	6	1499943.375	-24.99944942	0	27.1900864341	4.5834829443447
76	6	1499943.375	-24.99944942	0	27.1900864341	4.5834829443447
77	4	1499943.375	-24.99944942	0	27.1900864341	4.58707360861759
78	6	1499943.375	-24.99944942	0	27.1900864341	4.5834829443447
79	3	1499943.375	-24.99944942	0	27.1900864341	4.58886894075404
80	5	1499943.375	-24.99944942	0	27.1900864341	4.58527827648115
81	3	1499943.375	-25.00156609	0	27.287541941	4.58886894075404
82	5	1499943.286	-24.9063159	0	27.1177578265	4.57011070110701
83	6	1499943.377	-24.90419923	0	26.3952943384	4.57116451016636
84	5	1499943.47	-24.5210818	0	25.1804954168	4.57007575757576
85	2	1499943.47	-24.5210818	0	25.1804954168	4.57575757575758
86	1	1499943.47	-24.5210818	0	25.1804954168	4.57765151515152
87	5	1499943.485	-24.3686815	0	24.7999490375	4.59082217973231
88	1	1499943.485	-24.3686815	0	24.7999490375	4.59847036328872
89	3	1499943.485	-24.3686815	0	24.7999490375	4.59464627151052
90	2	1499943.485	-24.3686815	0	24.7999490375	4.59655831739962
91	1	1499943.485	-24.3686815	0	24.7999490375	4.59847036328872
92	5	1499943.487	-24.36656482	0	24.7863877955	4.59003831417624
93	5	1499943.468	-24.288248	0	24.4337881167	4.60038986354776
94	4	1499943.47	-24.29036467	0	24.4203295175	4.60233918128655
95	5	1499943.47	-24.29036467	0	24.4203295175	4.60038986354776
96	6	1499944.228	-23.30187936	0	18.568472669	4.56832971800434
97	6	1499944.228	-23.30187936	0	18.568472669	4.56832971800434
98	6	1499944.232	-23.30187936	0	18.5541591912	4.56832971800434
99	6	1499944.218	-24.00249743	0	20.2152473293	4.58
100	4	1499944.213	-24.10198096	0	20.7548968603	4.61673151750973
101	4	1499944.213	-24.10198096	0	20.7548968603	4.61673151750973
102	3	1499944.059	-23.29764602	0	19.0953536808	4.57516339869281
103	5	1499944.122	-23.67653011	0	20.3762430295	4.58064516129032
104	3	1499944.124	-23.67653011	0	20.3679313809	4.58467741935484
105	3	1499943.974	-23.54952986	0	20.6935998335	4.59304703476483
106	4	1499943.974	-23.54952986	0	20.6935998335	4.59100204498978
107	5	1499943.974	-23.54952986	0	20.6935998335	4.58895705521472
108	1	1499943.974	-23.54952986	0	20.6935998335	4.59713701431493
109	5	1499943.974	-23.54952986	0	20.6935998335	4.58895705521472
110	4	1499943.974	-23.54952986	0	20.6935998335	4.59100204498978
111	5	1499943.881	-24.13796437	0	22.3559156469	4.61240310077519
112	4	1499943.881	-24.13796437	0	22.3559156469	4.61434108527132
113	4	1499943.881	-24.13796437	0	22.3559156469	4.61434108527132
114	4	1499943.881	-24.13796437	0	22.3559156469	4.61434108527132
